Текст вопроса	Номер связки 	Тематика 		
Добрый вечер! Подскажите пожалуйста, мы граждане Украины, при въезде в Росиию , ребёнку 10 лет обязательно делать тест ? Спасибо  Отправлено с iPhone	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день, подскажите пожалуйста, по возвращению из за границы после предоставления результатов теста на портале госуслуг я имею возможность свободного передвижения, продолжения трудовой деятельности и тд (тест отрицательный). Дополнительное уведомление придет?  С уважением Валерий. Отправлено с iPhone	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день!  Рекомендаций по предотвращению распространения новой коронавирусной инфекции при проведении мероприятий (концертов) в присланном вами сообщении не найдено.  	45	ШТРАФЫ, НОРМАТИВНЫЕ АКТЫ И РЕКОМЕНДАЦИИ		
Добрый день. поясните пожалуйста действия работодателя при выявлении у сотрудника подтвержденного диагноза Covid 19 ?  Обязаны ли : * медицинские учреждения в том числе частные уведомлять Роспотребнадзор?; * медицинские учреждения в том числе частные уведомлять работодателя сотрудника ?. В обязательном ли порядке работодатель получит предписание Роспотребнадзора и в какой срок оно должно поступить? Что обязан предпринять работодатель если предписание Роспотребнадзора не поступило? Какие меры должен предпринять работодатель в отношении лиц контактировавших в с сотрудником заболевшим Covid 19. В какие сроки и какие анализы необходимо сдать контактировавшим лицам? Обязан ли работодатель компенсировать затраты на тестирование на Covid 19  работников контактировавших на рабочем месте с заболевшим  Covid 19 сотрудником?.   С уважением Марат Галимов 	286	МЕРЫ ПРОФИЛАКТИКИ ДЛЯ РАБОТОДАТЕЛЕЙ НА РАБОЧИХ МЕСТАХ		
Мы прилетаем из москвы 16 августа уже со справкой датированной 13 августа,  является ли она еще действительной ?    пт, 14 авг. 2020 г., 11:06 :    > Добрый день, Ваше сообщение зарегистрировано в системе под номером: 7750  >  > *Ваш вопрос:*  > Мы прилетаем к вам в составе туристической группы, у нас оформлены  > пропуска и мы сдали тесты на отсутствие коронавируса. Вылетаем из Москвы 15  > августа, прилетаем 16 августа . Тест дата получение 13 число ,он еще  > действует ?Отправлено со смартфона Samsung Galaxy.  > *Ответ:*  > На основании подпункта 1.4 пункта 1 постановления Главного  > государственного санитарного врача РФ от 30 марта 2020 г. № 9 "О  > дополнительных мерах по недопущению распространения COVID-2019",  > организация лабораторной диагностики граждан в субъектах Российской  > Федерации с привлечением всех лабораторий организаций вне зависимости от их  > организационно-правовой формы, возложена на руководителей высшего  > исполнительного органа государственной власти субъектов Российской  > Федерации (регионы РФ).  >  >  > В настоящее время срок ПЦР-диагностики на новую коронавирусную инфекцию в  > соответствии с нормативно-правовыми актами Российской Федерации не  > установлен. Проведение анализа обычно занимает 1,5-2 дня.  >  >  > Однако, в ряде регионов Российской Федерации, из-за большого объема  > поступающих проб в лаборатории, сроки могут быть увеличены.  >  >  >  >  > Тестирование должны проходить в обязательном порядке все прибывшие из-за  > границы на территорию России после начала регулярного авиасообщения:  >  >  > - иностранные граждане - предоставляют медицинский документ (на русском  > или английском языках) об отрицательном ПЦР тесте на COVID - 19,  > выполненном не ранее чем за три дня до прибытия в Россию или медицинский  > документ, подтверждающий выявление антител иммуноглобулина G (при наличии).  > При отсутствии результатов отрицательного ПЦР теста - проходят ПЦР тест - в  > течении 3х дней с даты прибытия в Россию;  >  >  > - граждане РФ должны пройти ПЦР тест на ковид - в течении 3-х дней с даты  > прибытия.  >  >  > В случае любого ухудшения состояния здоровья гражданин должен  > незамедлительно обратиться за медицинской помощью по месту жительства без  > посещения медицинской организации и сообщить информацию о прибытии из-за  > границы.  >  >  > В отношении всех прибывших граждан заполненные анкеты в суточный срок  > передаются в территориальный орган Роспотребнадзора по месту дальнейшего  > следования прибывших.  >  >  >  >  > Кроме этого, тест на наличие коронавируса в обязательном порядке  > назначается по показаниям и исключительно врачом медицинской организации.  > Обязательному обследованию подлежат с учетом приоритетов, установленных  > санитарными правилами "СП 3.1.3597-20 Профилактика новой коронавирусной  > инфекции (COVID-19)":  >  >  > 1) контактирующие с больным COVID–19;  >  >  > 2) больным с диагнозом "внебольничная пневмония";  >  >  > 3) лица, старше 65 лет, обратившимися за помощью с симптомами  > респираторного заболевания;  >  >  > 4) медицинские работники, имеющие риски инфицирования COVID–19.  >  >  > Медицинские работники подлежат обязательному тестированию на  > коронавирусную инфекцию, поскольку они осуществляю работу и взаимодействие  > с носителями новой коронавирусной инфекции. Как правило, медицинских  > работников на постоянной основе тестирует работодатель - та медицинская  > организация, в которой работает медицинский сотрудник.  >  >  > Стоит учитывать, что в ряде регионов РФ нормативно-правовым актом органа  > здравоохранения (комитета, департамента, министерства) уточнен порядок  > тестирования медицинских работников (по времени и условиям тестирования).;  >  >  > 5) лица, находящиеся в учреждения с постоянным пребыванием людей и  > персонал таких учреждений (дома-интернаты, учебно-воспитательные учреждения  > закрытого типа и другие).  >  >  >  >  > Основным методом тестирования населения на наличие новой коронавирусной  > инфекции является метод полимеразной цепной реакции (ПЦР-диагностики).  > Данный метод позволяет добиться значительного увеличения малых концентраций  > определённых фрагментов ДНК/РНК вируса в биологическом материале (пробе).  > Такой тип диагностики осуществляется на специализированном лабораторном  > оборудовании ПЦР-анализаторе.  >  >  > Сами же пробы могут отбираться в зависимости от стадии заболевания разными  > методами и способами. Самый распространенный из них взятие мазка из носа и  > рта (ротоглоточный мазок). Более сложные методы (например,  > бронхоальвеолярный лаваж) назначаются по показаниям врачом и проводятся  > исключительно в медицинских организациях.  >  >  >  >  > В случае любого ухудшения состояния здоровья, в том числе появлении  > признаков ОРВИ (лихорадка, кашель и др.), незамедлительно обратиться за  > медицинской помощью по месту жительства (вызывайте врача на дом или "скорую  > помощь") в зависимости от состояния здоровья.  >  >  > При получении положительного результата ПЦР-теста на коронавирус, а также  > при любом ухудшении состояния здоровья обеспечить соблюдение требований по  > обязательной изоляции по месту жительства (в изолированном помещении,  > позволяющем исключить контакты с членами семьи и другими лицами, не  > подвергнутыми изоляции). Информация о всех положительных результатах  > тестирования на коронавирус обязательно передается в медицинские  > организации (поликлиники, больницы).  >  >  >  >  > В случае необходимости должна оказываться медицинская помощь в условиях  > стационара или на дому при легкой или бессимптомной формах заболеваниях.  > При легких или бессимптомных формах заболевания врач, осуществляющий  > медицинское наблюдение совместно с эпидемиологами принимают решение о  > госпитализации или продолжении домашней изоляции при наличии условий.  > Тактику лечения и при необходимости повторное ПЦР-исследование назначает  > врач. Забор материала для ПЦР-теста в этом случае осуществляется  > медицинским персоналом на дому.  >  >  >  >  > Результаты тестирования выдает медицинская организация, осуществляющая  > забор материала у гражданина (это может быть поликлиника, больница, частная  > клиника). Примерная информация о сроках готовности результатов обычно  > оговаривается медицинским персоналом при взятии мазка. О готовности  > результатов, как правило, можно уточнить по телефону Вашей медицинской  > организации. Однако, результаты тестирования не предоставляются по  > телефону. Исходя из содержания статьи 13 Федерального закона от 21.11.2011  > № 323-ФЗ "Об основах охраны здоровья граждан в Российской Федерации", любая  > информация об обращении гражданина за медицинской помощью, его опросе и  > осмотре медицинским персоналом, результате лабораторной диагностики и  > других медицинских действиях, относится к охраняемой законодательством  > "Врачебной тайне".По этой причине медицинская организация не вправе  > кому-либо такой информации кроме самого пациента без его письменного  > согласия. Кроме того, сообщая кому-либо данные пациента медицинская  > организация также нарушает порядок работы с персональными данными, согласно  > Федеральному закону от 27.07.2006 № 152-ФЗ "О персональных данных", что  > может повлечь штрафные санкции в отношении медицинской организации.  > Медицинской организацией может направляться информация о результатах  > диагностики по электронной почте, только при наличии пожелания пациента,  > выраженного в письменной форме (например, в направлении на исследование или  > добровольном согласии).  >  >  > С целью захоронения результаты тестирования выдаются администрацией  > патологоанатомического бюро, патологоанатомического отделения больницы  > (администрацией больницы) или администрацией бюро судебно медицинской  > экспертизы.  >  >  >  >  > Справка (протокол) о проведении анализа (исследования) на коронавирус  > (тест на коронавирус) свидетельствует об отсутствии или наличии  > коронавируса на момент забора материала (сдачи материала на исследование).  > Если Вам необходимо предоставить результат тестирования в медицинскую  > организацию, то о сроках действия справки необходимо уточнить по телефону  > горячей линии органов здравоохранения Вашего субъекта.  >  >  >  >  > Если у Вас не берут мазок для ПЦР-исследования позвоните по номеру горячей  > линии органов здравоохранения Вашего региона, сообщите о проблеме.  > Диагностика антител (иммуноглобулинов) классов IgM и IgG к новой  > коронавирусной инфекции проводится методом иммунологического анализа -  > иммуноферментный анализ (ИФА). Биологическим материалов в данном случае  > может быть только кровь пациента, поскольку в ней содержатся  > клетки-защитники нашего организма.   > Данный метод исследования позволяет выявлять уже переболевших лиц (в том  > числе в легкой и бессимптомной формах), изучать популяционной иммунитет и  > провести в последствии оценку эффективности разрабатываемых вакцин против  > COVID-19.   > Анализ на антитела можно сдать добровольно в коммерческих лабораториях. В  > ряде регионов бесплатный тест на наличие антител к коронавирусной инфекции  > проводится добровольно государственными поликлиниками по предварительной  > записи.   > Сроки проведения анализа и выдачи результатов зависят от используемых  > тест-систем. Примерная информация о сроках готовности результатов обычно  > оговаривается медицинским персоналом при взятии биологического материала  > (крови) для проведения анализа.   > Расшифровку результата осуществляет медицинский персонал организации,  > которая осуществляла забор материала. Расшифровка зависит в том числе от  > тест-системы, которую используют в данной медицинской организации.   > Вы можете позвонить на телефон оперативного штаба по коронавирусной  > инфекции в Москве: 8 (495) 870 45 09, - где исходя из Вашей конкретной  > ситуации будут даны рекомендации.  > Чат-бот по коронавирусной инфекции работает в тестовом режиме. Если ответ  > на Ваш вопрос не является исчерпывающим, то мы просим Вас позвонить в  > Единый консультационный центр Роспотребнадзора 8-800-555-49-43 и дождаться  > ответа оператора.   > Были рады Вам помочь.   > С уважением и заботой о Вас, Роспотребнадзор.  > Система автоматического ответа на вопросы по коронавирусной инфекции  > работает в тестовом режиме. Если ответ на Ваш вопрос не является  > исчерпывающим, то мы просим Вас повторно позвонить в Единый  > консультационный центр Роспотребнадзора *8-800-555-49-43* и дождаться  > ответа оператора.  > Чат-бот Роспотребнадзора по коронавирусной инфекции:  > https://t.me/rospotrebnadzor_covid19_bot  > *Были рады Вам помочь.*  > *С уважением и заботой о Вас, Роспотребнадзор.* 	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Мы прилетаем к вам в составе туристической группы, у нас оформлены пропуска и мы сдали тесты на отсутствие коронавируса. Вылетаем из Москвы 15 августа, прилетаем 16 августа . Тест дата получение 13 число ,он еще действует ?Отправлено со смартфона Samsung Galaxy.	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Добрый день! Мы живем в Нижнем Новгороде. Неделю провели на турбазе в Астраханской области, имеющей разрешение на работу от Роспотребнадзора, возвращаемся в воскресенье. Симптомов ОРВИ нет. Обязаны ли мы по приезду сдать анализ на отсутствие заболевания вирусом ковид-19? Имеют ли право требовать от нас такие справки и где?  -- Анна Масленникова 	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Здравствуйте, мне нужно узнать, есть ли какие-либо документы на мою бабушку и на мою семью? 04.08.2020 года по скорой бабушке сделали КТ где было установленно 50% поражения лёгких и подозрение на COVID, после чего ее госпитализировали в Омскую Областную Клиническую больницу на ул. Березовая д.3 где взяли мазок, мазок - отрицательный. 05.08.2020 г. У бабушки взяли кровь на анализ.  12.08.2020 г. Позвонили из центра гигиены и эпидимиологии и сообщили что анализ на кровь - положительный, и нам как совместно проживающим необходимо пройти обследование! После чего мы пытались получить какую либо информацию в Роспотребнадзоре но нас ни в одном списке не нашли, в поликлинике по месту жительства тоже никакой информации! Заболевшая - Вайс Наталья Петровна 23.08.1957 г.р. Совместно проживающие - Штах Евгений Станиславоцич 11.08.1991 г.р. Штах Кристина Евгеньевна 02.03.1998 г.р. Штах Алиса Евгеньевна 19.05.2020 г.р. Кулик Сергей Геннадьевич 14.06.1971 г.р. Проживаем по адресу: г. Омск ул. 12-я Северная д. 135 И последний вопрос, Врачь закрыл мой больничный и говорит, что необходимо предписание из Роспотребнадзора для его продления! Такое предписание есть? Или когда его выпишут, что мне говорить работодателю? Работаю я в Росгвардии, без больничного я дома сидеть не могу! 	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ		
Здравствуйте!    Хотел бы уточнить: верно ли я понимаю, что с 1 августа, согласно постановлению "Об обеспечении режима изоляции в целях предотвращения распространения COVID-19" у граждан России возникает обязанность проходить тест на коронавирус и сообщать о своем прибытии только при пересечении границы воздушным путем?  Т.е. если я приеду на автобусе, тест проходить не нужно и сообщать о прибытии, заполнять анкету тоже не нужно?    2. Гражданам Российской Федерации, прибывающим на территорию Российской Федерации воздушным транспортом (за исключением членов экипажа воздушного судна, осуществляющего воздушную перевозку):  2.1. Обеспечить заполнение анкеты…  2.2. В течение трех календарных дней со дня прибытия на территорию Российской Федерации пройти лабораторное исследование на COVID-19…    Спасибо за разъяснение. 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день, разъясните мне пожалуйста. 4 августа был контакт по ковид, 6 узнала об этом и самоизолировалась 10 августа сдала тест в сити лаб, тест положительный требует перепроверки в роспотребнадзоре, ответа до сих пор нет. Появились первые признаки орви, вызвала врача, назначили симптоматическое лечение, признаки уже прошли. У моих коллег выявили тоже ковид, и они лежат в больнице. Что мне делать? Ждать перепроверки? Сдавать тест повторно? И может ли тест быть по ковид отрицательным, просто от симптоматическое лечения? Спасибо -- Отправлено из Mail.ru для Android 	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС		
13.08.20 Ботинова А. Н. 1942г (78 лет) Обратилась в Республиканскую больницу им. Жемчуева с Ковид 19 положительный результат, после К-т её отправили домой сказав что мест нет, колитесь дома, но у неё сопутствующей заболевание гепатит С, колоть дома нет возможности, помогите нам её госпитализирован!!! 	257	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ		
Добрый день! После посещения во время отпуска Республики Крым, нужно ли соблюдать режим самоизоляции или сдавать тест на COVID-19 методом ПЦР перед выходом на работу?  	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Добрый день! Необходимо ли иметь детям гражданина РФ, прилетающим из Турции результат теста на коронавирус, если дети имеют гражданство Нидерландов? Гражданину РФ результат теста иметь не нужно? После прилёта необходимо зарегистрироваться на сайте госуслуг и потом внести туда результаты тестирования? Спасибо! 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день, устроился на работу в город усинск в ООО роснефть. Р-н-транспорт автоколонна N1. Офис г усинск западная 3 а. Прошёл обсерваторию, далее верно летом на хасырейское месторождение. Тут выяснилось, что техника в неисправном состоянии. И принимать такую я отказался. Написал заявление на увольнение 10.08.2020 сегодня 14.08.2020 был борт до усинска. Мне в вылете отказали, лукава ответив, что я не имею отрицательного анализа. Я говорю в городе то у меня бумагу дали. На что последовал ответ, что это в городе а это здесь. На самом деле всего лишь нужно разрешение роспотреб надзора насколько пояснила медик. Помогите разрешить ситуацию с вылетом, с уважением Цимбаревич Юрий Александрович 	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
здравствуйте! у нас закрыли детский сад на карантин,всем вручили постановления главного государственного санитарного врача о изоляции, где прописано, что соблюдать режим изоляции до получения однократного отрицательного анализа. постановление от 10 августа, когда будут брать мазок?уже14 августа                                  	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС 		
Здравствуйте, подскажите  пожалуйста,  гражданину Украины нужно ли иметь при себе справку о результате теста на коронавирус при пересечении границы с Россией. С уважением, Людмила Эйхман 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день, человеку выписали предписание о карантине, обязан ли он ставить приложение соц мониторинг и кто должен выдать телефон если своего нет? С кем можно пообщаться по этому вопросу?	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ		
Добрый день. Прошу подсказать, действуют ли в настоящее время в екатеринбурге ограничения( запрет ) на посещение в течении 2 недельного срока с момета прибытия в город из др.области или Москвы, стоматологических клиник. Если запрет снят то на каком основании? Спасибо. 	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Добрый день, Хотела бы получить консультацию по нескольким вопросам: 1. Обязан ли работодатель заключать договор с медицинским учреждением на проведение тестирования сотрудников на ковид или работодатель может компенсировать оплату за тестирование для сотрудников при этом собрав результаты тестирования? 2. Какое тестирование необходимо проводить работодателю для сотрудников? Методом ПЦР или ИФА? 3. Какие документы необходимо иметь в организации для подтверждения проведения необходимых тестирований? Благодарю за информацию, С уважением, Евгения 	286	МЕРЫ ПРОФИЛАКТИКИ ДЛЯ РАБОТОДАТЕЛЕЙ НА РАБОЧИХ МЕСТАХ		
Добрый день!  В практике возник следующий вопрос. Работник (гражданин Российской Федерации) выезжал за рубеж в нерабочее время и вернулся на территорию РФ. Согласно пункту 2.2. Постановления Главного государственного санитарного врача от 18.03.2020 № 7 (в редакции последующих Постановлений), в указанном случае работник обязан в  течение трех календарных дней со дня прибытия на территорию Российской Федерации пройти лабораторное исследование на COVID-19 методом ПЦР. Очевидно, что допуск работника к работе в отсутствие отрицательного результата указанного выше исследования не отвечает цели предотвращения  распространения инфекционного заболевания.  В то же время, согласно пункту 3.2. указанного Постановления работодатель обязан  проверять  наличие медицинских документов, подтверждающих отрицательный результат лабораторного исследования на COVID-19 только  при привлечении к трудовой деятельности иностранных граждан и лиц без гражданства. Аналогичная обязанность в отношении работников-граждан РФ на работодателя указанным Постановлением не возложена. В этой связи прошу пояснить следующее: * Есть ли у работодателя вправо (обязанность) не допускать к работе (отстранить от работы) работника, вернувшегося из-за рубежа, пока тот не представит работодателю  медицинский документ, подтверждающий отрицательный результат лабораторного исследования на COVID-19, в также проверять наличие такого документа, и если такое право (обязанность) у работодателя есть, то каким нормативным актом это предусмотрено. * Каков статус работника до момента представления указанного выше медицинского документа, для целей учета неявки на работу (нетрудоспособен, отсутствует по невыясненным причинам и .т.д.) С уважением,  -- Дмитрий Мотузко +7 (4012) 3-777-42 kd-jur.ru 	5	ТРУДОВОЕ ЗАКОНОДАТЕЛЬСТВО 		
Здравствуйте.лежу в больнице второй раз за месяц,на руках есть тесть на антитела(положительно,кол-во 7,61 от 07.08.2020).должен ли я находится в больнице?	132	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ		
Здравствуйте. Хочу узнать номер постановления на меня. Рустамов Андрей Фикретович 28.01.1989	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ		
Ко мне приезжает из Белоруси человек на ПМЖ в России. Надо ли ему проходить 2-х недельную самоизоляцию? Спасибо. 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Здравствуйте. У меня просьба: проведите, пожалуйста, проверку соблюдения масочного режима в торговом центре "999" по проспекту Ленина. 15 в г. Томске. Три дня назад при посещении ТЦ я была неприятно удивлена тем, что в маске была только я и еще пара-тройка вошедших после меня посетителей. Большинство продавцов в отделах магазина, включая продавца в отделе, который торгует сырами домашнего производства, т.е. пищевыми продуктами, ни покупатели не удосужились надеть защитные маски. Я с пониманием отношусь к тому, что продавцы находятся весь день на рабочих местах и им тяжело постоянно дышать через маску. Бывает, что в отсутствие покупателей они спускают маски на подбородок, но когда посетитель заходит в отдел, обычно продавец натягивает маску, закрывая рот и нос. Но не в том случае и не в тот день! Масок в принципе не было. Я хотела совершить покупку в отделе, который торгует косметическими средствами. Продавец в отделе была без маски. На мой вопрос, почему персонал и посетители торгового центра не надевают маски она мне ответила: "А нас не контролируют!" Я возразила ей, что масочный режим введен на территории Томской области 18 мая, обязателен для всех в общественных местах и продлен губернатором до 31 августа. Она только рассмеялась мне в ответ и сообщила, что каждый день ездит из Северска на автобусах и там тоже масочный режим не соблюдается. Я понимаю, что соблюдение правил личной гигиены - это личное дело отдельного человека, но только не в том случае, когда этот человек работает продавцом в торговом центре на центральном проспекте Томска и контактирует с неограниченным количеством людей еще и в Северске. Справедливости ради отмечу, что в отделе, торгующем батарейками и другими мелочами продавец мужчина был в маске. В этом отделе я совершила покупку. А в отделе косметики, которую я пришла купить, у меня желание совершить покупку отпало. И я поскорей покинула торговый центр. Прошу ответить на моё обращение письменно и сообщить: 1. Необходимо ли соблюдать масочный режим в общественных местах? 2. Кто осуществляет контроль за соблюдением масочного режима в общественных местах? 3. Куда нужно обращаться гражданам в случае нарушения масочного режима в общественных местах? Насколько я помню, за нарушение масочного режима законодательством предусмотрена ответственность и штрафы за эти правонарушения никто не отменял. 	70	СРЕДСТВА ИНДИВИДУАЛЬНОЙ ЗАЩИТЫ ( МАСКИ, ПЕРЧАТКИ)		
Добрый день, хочу поехать в командировку в Республику Беларусь (РБ) из Российской Федерации (РФ) на служебном автотранспорте на два дня, при возвращении из РБ в РФ нужно ли оповещать министерство здравоохранения о въезде в РФ из РБ, сидеть на самоизоляции 14 дней и сдавать тест на коронавирус?	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день. Красноярский край, город Норильск. Действует постановление о самоизоляции 14 дней по приезду на территорию города Норильска (возвращению из отпуска). Возможно ли сдать анализ и при отрицательном показателе на ковид - прервать самоизоляцию и приступить к работе? Нормативная основа такого прерываниям самоизоляции какая? Наличие справки- результата анализа с отрицательным показателем является документом, позволяющим приступить к работе? В постановлении такие моменты не указаны. Заранее спасибо!	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
